ID_EXPERIMENT	ID_SCIENTIST	LANGUAGE	RESULT
324	40	EN	C6H5NO2 was synthesized from C6H5OH and HNO3 with a yield of 84% and a purity of 92%. Minor side reactions were observed.
325	41	EN	
326	42	EN	The production of C4H6O4 from C4H8O and O2 yielded 80% with a purity of 88%. The reaction showed signs of over-oxidation, needing refinement.
327	43	EN	
328	44	EN	The reaction of C6H4Br2 with HCl yielded 86% of C6H4Cl2 with a 93% purity. The process was efficient, but some minor by-products were detected.
329	45	EN	
330	46	EN	The experiment to produce C5H6O2 from C5H8 and O2 resulted in a 79% yield with 90% purity. Optimization of the oxygen levels could improve the outcome.
331	47	EN	
332	48	EN	C3H7NO2 was synthesized from C3H5Cl and NH3, resulting in an 87% yield and 94% purity. The reaction proceeded smoothly, though longer reaction times might improve yields.
333	49	EN	
334	30	EN	The reaction between C6H12 and O2 produced an 82% yield of C6H10O with a purity of 91%. Some oxidation by-products suggest the need for further refinement.
335	30	EN	
336	30	EN	The reaction between C6H6 and Cl2 produced C6H5Cl with a 78% yield and a measured purity of 88%. Traces of C6H4Cl2 were also detected, indicating some degree of chlorination beyond the desired level.
337	30	EN	
338	30	EN	C4H10O was obtained from the reaction of C4H8 and H2O with a yield of 81% and a purity of 89%. The presence of unreacted C4H8 suggests that the conversion was not complete.
339	30	EN	
340	30	EN	The synthesis of C5H6O2 from C5H8 and O2 resulted in an 85% yield with a 91% purity. There were signs of minor side reactions, as indicated by the detection of C5H4O2.
341	30	EN	
342	30	EN	C2H5OH reacted with H2SO4 to produce C2H4 at an 88% yield and 94% purity. The reaction was largely free of by-products, though slight variations in temperature were noted during the process.
343	30	EN	
344	30	EN	The experiment involving C6H5NH2 and HNO3 resulted in C6H5NO2 with an 82% yield and a 90% purity. Some C6H4(NO2)2 was also formed, which may require further investigation.
345	30	EN	
346	30	EN	C4H8O2 was synthesized from C4H6O and H2O2, achieving an 84% yield with a 92% purity. The reaction duration was longer than anticipated, which could indicate the need for optimization.
347	30	EN	
348	30	EN	The reaction of C7H6O with H2SO4 produced C7H6SO3 at a yield of 86% and a purity of 93%. There was a minor formation of by-products, hinting at potential overreaction.
349	30	EN	
350	30	EN	The production of C5H10O from C5H8 and H2 yielded an 83% yield and a 91% purity. Unreacted C5H8 was present in the final mixture, suggesting incomplete conversion.
351	30	EN	
352	30	EN	C3H7NO2 was synthesized from C3H6O3 and NH3 with an 80% yield and a 90% purity. The pH control was critical, but some fluctuations were noted during the experiment.
353	30	EN	
354	15	EN	The synthesis of C6H4Br2 from C6H6 and Br2 resulted in an 89% yield with a 94% purity. Minor variations in bromination levels were observed across different trials.
355	16	EN	
356	17	EN	The reaction between C2H4 and Cl2 yielded C2H4Cl2 with an 85% yield and a 92% purity. Some C2H4Cl3 was also detected, indicating over-chlorination in certain runs.
357	18	EN	
358	19	EN	C3H6O2 was produced from C3H8O and O2 with an 83% yield and a purity of 90%. The presence of minor oxidation by-products was noted, which could require further analysis.
359	20	EN	
360	21	EN	The reaction involving C7H8O2 and O2 resulted in C7H6O3 with an 80% yield and an 88% purity. A small amount of C7H4O4 was detected, suggesting some degree of over-oxidation.
361	22	EN	
362	23	EN	C4H8O2 was obtained from the reaction of C4H6O and H2O2, achieving an 86% yield and a 93% purity. Temperature control was crucial, but some deviations were recorded.
363	24	EN	
364	25	EN	The experiment to synthesize C6H5NO2 from C6H5Cl and HNO3 yielded 84% with a 91% purity. Some side products were observed, possibly due to variations in reaction conditions.
365	26	EN	
366	27	EN	C5H10O was produced from the reaction of C5H8 and H2, yielding 82% with a purity of 89%. The reaction required longer than expected, which may indicate the need for a catalyst adjustment.
367	28	EN	
368	29	EN	The synthesis of C6H4Cl2 from C6H6 and Cl2 resulted in an 87% yield with a 93% purity. Some over-chlorination was observed, leading to the formation of small amounts of C6H3Cl3.
369	30	EN	
370	31	EN	The reaction between C2H4 and HCl produced C2H5Cl with an 83% yield and a 91% purity. The reaction showed signs of inconsistencies in HCl concentration.
371	32	EN	
372	33	EN	C3H8O was synthesized from C3H6 and H2 with a yield of 82% and a purity of 89%. Some unreacted C3H6 was present, indicating that the reaction might need further optimization.
373	34	EN	
374	35	EN	The reaction of C6H5OH with HNO3 resulted in C6H5NO2 with an 84% yield and a purity of 90%. Some side reactions were detected, potentially affecting the overall yield.
375	36	EN	
376	37	EN	C4H6O4 was produced from C4H8O and O2, achieving a yield of 79% with an 87% purity. Over-oxidation was observed, leading to the formation of minor by-products.
377	38	EN	
378	39	EN	The synthesis of C6H4Br2 from C6H6 and Br2 resulted in an 88% yield with a 94% purity. There were minor deviations in the reaction conditions across different runs.
379	40	EN	
380	41	EN	C5H6O2 was produced from C5H8 and O2 with an 81% yield and a 90% purity. The presence of some unreacted starting material suggests that the reaction was not fully complete.
381	42	EN	
382	43	EN	The reaction involving C3H5Cl and NH3 produced C3H7NO2 with an 87% yield and a 93% purity. The reaction appeared to proceed as expected, though some minor adjustments might improve efficiency.
383	44	EN	
384	45	EN	The production of C6H10O from C6H12 and O2 resulted in an 83% yield with a 91% purity. The formation of some oxidation by-products suggests that further refinement is needed.
385	46	EN	
386	47	EN	The reaction between C6H6 and Br2 yielded C6H5Br with a final concentration of 0.78 M. The reaction mixture contained traces of C6H4Br2, indicating further bromination.
387	48	EN	
388	49	EN	C4H10O was synthesized from C4H8 and H2O, resulting in a product with a purity of 91%. Analysis also revealed a minor amount of unreacted C4H8.
389	50	EN	
390	51	EN	The process of converting C5H8 to C5H6O2 involved the use of O2 and resulted in a yield of 0.85 mol. The reaction also produced a small quantity of C5H4O2 as a by-product.
391	52	EN	
392	53	EN	The combination of C2H5OH and H2SO4 led to the production of C2H4, with a recorded purity of 94%. The reaction was performed under controlled temperature conditions.
393	54	EN	
394	55	EN	In the experiment with C6H5NH2 and HNO3, the formation of C6H5NO2 was noted with a purity of 90%. Some nitration side products were also detected in small quantities.
395	56	EN	
396	57	EN	C4H8O2 was obtained by reacting C4H6O with H2O2, resulting in a product with 92% purity. The duration of the reaction was slightly longer than anticipated.
397	58	EN	
398	59	EN	The experiment involving C7H6O and H2SO4 produced C7H6SO3 with a purity of 93%. The reaction mixture also contained a minor quantity of over-sulfonated compounds.
399	60	EN	
400	61	EN	C5H10O was generated from the hydrogenation of C5H8 using H2. The reaction yielded a product with a purity of 91% and an accompanying small amount of unreacted C5H8.
401	62	EN	
402	63	EN	The synthesis of C3H7NO2 from C3H6O3 and NH3 resulted in a product with a recorded pH of 6.2. The final mixture also contained traces of C3H6O3.
403	64	EN	
404	65	EN	The reaction between C6H6 and Cl2 yielded C6H5Cl with a concentration of 0.85 M. Analysis indicated the presence of some C6H4Cl2.
405	66	EN	
406	67	EN	C2H4 reacted with Cl2 to form C2H4Cl2, with a recorded purity of 92%. There was also a detectable amount of over-chlorinated by-products.
407	68	EN	
408	69	EN	The production of C3H6O2 from C3H8O and O2 resulted in a final purity of 90%. The mixture showed minor signs of oxidation by-products.
409	70	EN	
410	71	EN	C7H6O3 was synthesized from C7H8O2 and O2, yielding a final product with 88% purity. Traces of C7H4O4 were also detected.
411	72	EN	
412	73	EN	The reaction of C4H6O with H2O2 produced C4H8O2 with a purity of 93%. The reaction was conducted at a slightly higher temperature than originally planned.
413	74	EN	
414	75	EN	In the synthesis of C6H5NO2 from C6H5Cl and HNO3, the final product had a purity of 91%. Some minor nitration by-products were present in the reaction mixture.
415	76	EN	
416	77	EN	The production of C5H10O from C5H8 and H2 resulted in a product with 89% purity. Unreacted C5H8 was also observed in the mixture.
417	78	EN	
418	79	EN	C6H4Cl2 was produced by reacting C6H6 with Cl2, with the final product showing a purity of 93%. Small amounts of C6H3Cl3 were also present.
419	80	EN	
420	81	EN	The experiment involving C2H4 and HCl yielded C2H5Cl with a purity of 91%. The reaction conditions were maintained at a constant temperature throughout.
421	100	ES	
422	45	EN	C3H8O was synthesized from C3H6 and H2, with the final product containing 89% purity. The reaction mixture included a small quantity of unreacted C3H6.
423	101	ES	
424	76	EN	The reaction of C6H5OH with HNO3 produced C6H5NO2 with a purity of 90%. Some minor side products were also observed in the final mixture.
425	100	ES	
426	75	EN	C4H6O4 was generated from C4H8O and O2, yielding a product with 87% purity. The reaction conditions were monitored closely to minimize side reactions.
427	101	ES	
428	73	EN	The synthesis of C6H4Br2 from C6H6 and Br2 resulted in a final purity of 94%. There was also a minor presence of unreacted Br2 in the mixture.
429	100	ES	
430	79	EN	C5H6O2 was obtained from C5H8 and O2, with a final purity of 90%. The reaction also resulted in the formation of a small quantity of C5H4O2.
431	101	ES	
432	62	EN	The reaction between C3H5Cl and NH3 produced C3H7NO2 with a purity of 93%. The pH was monitored throughout the experiment to ensure stability.
433	100	ES	
434	61	EN	C6H10O was synthesized from C6H12 and O2, with a final product purity of 91%. The presence of minor oxidation by-products was noted during analysis.
435	207	IT	
436	208	IT	
437	209	IT	
438	210	IT	
439	211	IT	
440	212	IT	
441	213	IT	
442	214	IT	
443	215	IT	
444	216	IT	
445	217	IT	
446	218	IT	
447	219	IT	
448	220	IT	
449	217	IT	
450	218	IT	
451	219	IT	
452	220	IT	
453	217	IT	
454	218	IT	
455	219	IT	
456	220	IT	
457	217	IT	
458	218	IT	
459	219	IT	
460	220	IT	
461	221	IT	
462	7	EN	
463	8	EN	
464	9	EN	
465	110	ES	
466	111	ES	
467	112	ES	
468	113	ES	
469	114	ES	
470	115	ES	
471	116	ES	
472	117	ES	
473	217	IT	
474	218	IT	
475	219	IT	
476	220	IT	
477	217	IT	
478	218	IT	
479	219	IT	
480	220	IT	
481	221	IT	
482	7	EN	
483	8	EN	
484	9	EN	
485	110	ES	
486	111	ES	
487	112	ES	
488	113	ES	
489	114	ES	
490	115	ES	
491	116	ES	
492	117	ES	
493	112	ES	
494	113	ES	
495	112	ES	
496	113	ES	
497	114	ES	
498	115	ES	
499	116	ES	
500	117	ES	
